"readcode","medcode","recK","recK_ID","medcodeid.nealon","originalreadcode.nealon","snomedctconceptid","snomedctdescriptionid.nealon","recN","recN_ID","recLSHTM","recLSHTM_ID","recP","recP_ID","level","originalreadcode.ds","medcodeid.ds","recDS","recDS_ID","readterm","sctid","medcodeid.primis","originalreadcode.primis","readterm.emis","snomedctdescriptionid.primis","recPRIMIS","recPRIMIS_ID","recADD","source","medcodeid","originalreadcode_a","readcode_a","snomedctconceptid_a","snomedctdescriptionid_a","release_a","emiscodecategoryid_a","snomedctconceptid_clean","snomedctdescriptionid_clean","brand","havebrand"
NA,NA,NA,NA,"11934931000006100","EMISNQAD139","11934931000006100","11934931000006100","Nealon","50",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11934931000006100",NA,NA,NA,NA,NA,NA,"11934931000006100","11934931000006100","","0"
"",NA,NA,NA,"11934951000006100","EMISNQAD141","11934951000006100","11934951000006100","Nealon","51",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11934951000006100",NA,NA,NA,NA,NA,NA,"11934951000006100","11934951000006100","","0"
NA,NA,NA,NA,"11934961000006100","EMISNQAD142","11934961000006100","11934961000006100","Nealon","52",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11934961000006100",NA,NA,NA,NA,NA,NA,"11934961000006100","11934961000006100","","0"
NA,NA,NA,NA,"11934971000006100","EMISNQFI45","11934971000006100","11934971000006100","Nealon","53",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"First quadrivalent (QIV) inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11934971000006100",NA,NA,NA,NA,NA,NA,"11934971000006100","11934971000006100","","0"
NA,NA,NA,NA,"11934981000006100","EMISNQFI46","11934981000006100","11934981000006100","Nealon","54",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"First non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11934981000006100",NA,NA,NA,NA,NA,NA,"11934981000006100","11934981000006100","","0"
NA,NA,NA,NA,"11935001000006100","EMISNQSE163","11935001000006100","11935001000006100","Nealon","55",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935001000006100",NA,NA,NA,NA,NA,NA,"11935001000006100","11935001000006100","","0"
NA,NA,NA,NA,"11935021000006100","EMISNQAD144","11935021000006100","11935021000006100","Nealon","56",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935021000006100",NA,NA,NA,NA,NA,NA,"11935021000006100","11935021000006100","","0"
NA,NA,NA,NA,"11935031000006100","EMISNQAD145","11935031000006100","11935031000006100","Nealon","57",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935031000006100",NA,NA,NA,NA,NA,NA,"11935031000006100","11935031000006100","","0"
NA,NA,NA,NA,"11935061000006100","EMISNQAD147","11935061000006100","11935061000006100","Nealon","58",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935061000006100",NA,NA,NA,NA,NA,NA,"11935061000006100","11935061000006100","","0"
NA,NA,NA,NA,"11935071000006100","EMISNQAD148","11935071000006100","11935071000006100","Nealon","59",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935071000006100",NA,NA,NA,NA,NA,NA,"11935071000006100","11935071000006100","","0"
NA,NA,NA,NA,"11935081000006100","EMISNQAD149","11935081000006100","11935081000006100","Nealon","60",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935081000006100",NA,NA,NA,NA,NA,NA,"11935081000006100","11935081000006100","","0"
NA,NA,NA,NA,"11935091000006100","EMISNQAD150","11935091000006100","11935091000006100","Nealon","61",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935091000006100",NA,NA,NA,NA,NA,NA,"11935091000006100","11935091000006100","","0"
"",NA,NA,NA,"11935101000006100","EMISNQSE164","11935101000006100","11935101000006100","Nealon","62",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Second quadrivalent (QIV) inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935101000006100",NA,NA,NA,NA,NA,NA,"11935101000006100","11935101000006100","","0"
NA,NA,NA,NA,"11935111000006100","EMISNQAD151","11935111000006100","11935111000006100","Nealon","63",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11935111000006100",NA,NA,NA,NA,NA,NA,"11935111000006100","11935111000006100","","0"
"65E..00","6","Kilada","1","142934010","65E","86198006","142934010","Nealon","1",NA,NA,"Peppa","53","Seasonal","65E","142934010","DS","239","Influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon_Kilada_Peppa_DS","142934010","65E","65E..00","86198006","142934010",NA,"9","86198006","142934010","","0"
"65E0.00","94301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","27","Pandemic","65E0","308411000000113","DS","75","First pandemic influenza vaccination","202301000000106","308411000000113","65E0",NA,"308411000000113","PRIMIS","43",NA,"Peppa_DS_PRIMIS","308411000000113","65E0","65E0.00","202301000000106","308411000000113",NA,"9","202301000000106","308411000000113","","0"
"65E0000","107315",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","20",NA,NA,"Pandemic","65E00",NA,"DS","21","Administration of first intranasal pandemic influenza vacc","884821000000108","1884411000006110","65E00",NA,"2280851000000117","PRIMIS","21",NA,"LSHTM_DS_PRIMIS","1884411000006110",NA,NA,NA,NA,NA,NA,"884821000000108","2280851000000117","","0"
"65E1.00","95092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","28","Pandemic","65E1","308441000000114","DS","428","Second pandemic influenza vaccination","202311000000108","308441000000114","65E1",NA,"308441000000114","PRIMIS","63",NA,"Peppa_DS_PRIMIS","308441000000114","65E1","65E1.00","202311000000108","308441000000114",NA,"9","202311000000108","308441000000114","","0"
"65E1000","107646",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","24",NA,NA,"Pandemic","65E10","1884421000006119","DS","31","Administration of second intranasal pandemic influenza vaccination","884841000000101","1884421000006119","65E10",NA,"2280891000000113","PRIMIS","32",NA,"LSHTM_DS_PRIMIS","1884421000006119","65E10","65E1000","884841000000101","2280891000000113",NA,"9","884841000000101","2280891000000113","","0"
"65E2.00","97941","Kilada","6","753841000000112","6500","955641000000103","2437071000000110","Nealon","10","LSHTM","3","Peppa","92","Seasonal","6.50E+03","753841000000112","DS","250","Influenza vaccination given by other healthcare provider","955641000000103","753841000000112","65E2",NA,"2437071000000113","PRIMIS","48",NA,"Nealon_LSHTM_Kilada_Peppa_DS_PRIMIS","753841000000112","65E2","65E2.00","955641000000103","2437071000000113",NA,"9","955641000000103","2437071000000113","","0"
"65E2000","105077","Kilada","8","1811611000006110","6.5E+21","955651000000100","2437091000000110","Nealon","17","LSHTM","14","Peppa","19","Seasonal","65E20","1811611000006112","DS","417","Seasonal influenza vaccination given by other healthcare provider","955651000000100","1811611000006112","65E20",NA,"2437091000000112","PRIMIS","56",NA,"Nealon_LSHTM_Kilada_Peppa_DS_PRIMIS","1811611000006112","65E20","65E2000","955651000000100","2437091000000112",NA,"9","955651000000100","2437091000000112","","0"
"65E2100","107413","Kilada","15","1884431000006110","6.4999999999999998E+22","955661000000102","2437111000000110","Nealon","22","LSHTM","22","Peppa","20","Seasonal","6.50E+22","1884431000006116","DS","71","First intranasal seasonal influenza vaccination given by other healthcare provider","955661000000102","1884431000006116","65E21",NA,"2437111000000119","PRIMIS","42",NA,"Nealon_LSHTM_Kilada_Peppa_DS_PRIMIS","1884431000006116","65E21","65E2100","955661000000102","2437111000000119",NA,"9","955661000000102","2437111000000119","","0"
"65E2200","107730","Kilada","17","1884441000006110","6.4999999999999996E+23","955681000000106","2437151000000110","Nealon","23","LSHTM","25","Peppa","23","Seasonal","65E22","1884441000006114","DS","425","Second intranasal seasonal influenza vaccination given by other healthcare provider","955681000000106","1884441000006114","65E22",NA,"2437151000000115","PRIMIS","62",NA,"Nealon_LSHTM_Kilada_Peppa_DS_PRIMIS","1884441000006114","65E22","65E2200","955681000000106","2437151000000115",NA,"9","955681000000106","2437151000000115","","0"
"65E2300","110219","Kilada","19","1943461000006110","6.4999999999999996E+24","955671000000109","2437131000000110","Nealon","27","LSHTM","28","Peppa","22","Seasonal","6.50E+24","1943461000006112","DS","423","Second intramuscular seasonal influenza vaccination given by other healthcare provider","955671000000109","1943461000006112","65E23",NA,"2437131000000110","PRIMIS","60",NA,"Nealon_LSHTM_Kilada_Peppa_DS_PRIMIS","1943461000006112","65E23","65E2300","955671000000109","2437131000000110",NA,"9","955671000000109","2437131000000110","","0"
"65E2400","110182","Kilada","18","1943471000006110","6.5000000000000001E+25","945831000000105","2418881000000110","Nealon","28","LSHTM","27","Peppa","21","Seasonal","65E24","1943471000006117","DS","69","First intramuscular seasonal influenza vaccination given by other healthcare provider","945831000000105","1943471000006117","65E24",NA,"2418881000000114","PRIMIS","40",NA,"Nealon_LSHTM_Kilada_Peppa_DS_PRIMIS","1943471000006117","65E24","65E2400","945831000000105","2418881000000114",NA,"9","945831000000105","2418881000000114","","0"
"65E3.00","98217",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","7","Peppa","44","Pandemic","6.50E+04","1700971000006119","DS","76","First pandemic influenza vaccination given by other healthcare provider","380741000000101","1700971000006119","65E3",NA,"750261000000118","PRIMIS","45",NA,"LSHTM_Peppa_DS_PRIMIS","1700971000006119","65E3","65E3.00","380741000000101","750261000000118",NA,"9","380741000000101","750261000000118","","0"
"65E3000","108772",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","26","Peppa","45","Pandemic","65E30","1884451000006111","DS","70","First intranasal pandemic influenza vaccination given by other healthcare provider","884901000000107","1884451000006111","65E30",NA,"2281011000000118","PRIMIS","41",NA,"LSHTM_Peppa_DS_PRIMIS","1884451000006111","65E30","65E3000","884901000000107","2281011000000118",NA,"9","884901000000107","2281011000000118","","0"
"65E4.00","98306",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","12","Peppa","49","Pandemic","6.50E+05","1700981000006116","DS","429","Second pandemic influenza vaccination given by other healthcare provider","380771000000107","1700981000006116","65E4",NA,"750341000000114","PRIMIS","64",NA,"LSHTM_Peppa_DS_PRIMIS","1700981000006116","65E4","65E4.00","380771000000107","750341000000114",NA,"9","380771000000107","750341000000114","","0"
"65E5.00","98234",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","8","Peppa","29","Pandemic","65E5","1724231000006113","DS","53","CELVAPAN - first influenza A (H1N1v) 2009 vaccination given","515291000000105","1724231000006113","65E5",NA,"1145841000000119","PRIMIS","35",NA,"LSHTM_Peppa_DS_PRIMIS","1724231000006113","65E5","65E5.00","515291000000105","1145841000000119",NA,"9","515291000000105","1145841000000119","Baxter Healthcare Ltd","1"
"65E6.00","98302",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","9","Peppa","26","Pandemic","65E6","1724241000006115","DS","55","CELVAPAN - second influenza A (H1N1v) 2009 vaccination given","515321000000100","1724241000006115","65E6",NA,"1145881000000110","PRIMIS","37",NA,"LSHTM_Peppa_DS_PRIMIS","1724241000006115","65E6","65E6.00","515321000000100","1145881000000110",NA,"9","515321000000100","1145881000000110","Baxter Healthcare Ltd","1"
"65E7.00","98449",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","13","Peppa","48","Pandemic","65E7","1724251000006118","DS","54","CELVAPAN - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider","515331000000103","1724251000006118","65E7",NA,"1145901000000113","PRIMIS","36",NA,"LSHTM_Peppa_DS_PRIMIS","1724251000006118","65E7","65E7.00","515331000000103","1145901000000113",NA,"9","515331000000103","1145901000000113","Baxter Healthcare Ltd","1"
"65E8.00","98303",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","10","Peppa","50","Pandemic","65E8","1724261000006116","DS","56","CELVAPAN - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider","515351000000105","1724261000006116","65E8",NA,"1145941000000111","PRIMIS","38",NA,"LSHTM_Peppa_DS_PRIMIS","1724261000006116","65E8","65E8.00","515351000000105","1145941000000111",NA,"9","515351000000105","1145941000000111","Baxter Healthcare Ltd","1"
"65E9.00","98183",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","4","Peppa","30","Pandemic","6.50E+10","1724271000006111","DS","390","PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given","515281000000108","1724271000006111","65E9",NA,"1145821000000114","PRIMIS","50",NA,"LSHTM_Peppa_DS_PRIMIS","1724271000006111","65E9","65E9.00","515281000000108","1145821000000114",NA,"9","515281000000108","1145821000000114","GlaxoSmithKline UK Ltd","1"
"65EA.00","98184",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","5","Peppa","31","Pandemic","65EA","1724281000006114","DS","392","PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given","515301000000109","1724281000006114","65EA",NA,"1145861000000118","PRIMIS","52",NA,"LSHTM_Peppa_DS_PRIMIS","1724281000006114","65EA","65EA.00","515301000000109","1145861000000118",NA,"9","515301000000109","1145861000000118","GlaxoSmithKline UK Ltd","1"
"65EB.00","98203",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","6","Peppa","46","Pandemic","65EB","1724291000006112","DS","391","PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider","515341000000107","1724291000006112","65EB",NA,"1145921000000116","PRIMIS","51",NA,"LSHTM_Peppa_DS_PRIMIS","1724291000006112","65EB","65EB.00","515341000000107","1145921000000116",NA,"9","515341000000107","1145921000000116","GlaxoSmithKline UK Ltd","1"
"65EC.00","98304",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM","11","Peppa","47","Pandemic","65EC","1724301000006113","DS","393","PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider","515361000000108","1724301000006113","65EC",NA,"1145961000000112","PRIMIS","53",NA,"LSHTM_Peppa_DS_PRIMIS","1724301000006113","65EC","65EC.00","515361000000108","1145961000000112",NA,"9","515361000000108","1145961000000112","GlaxoSmithKline UK Ltd","1"
"65ED.00","104688","Kilada","7","2142081000000110","65ED","822851000000102","2142081000000110","Nealon","37",NA,NA,"Peppa","2","Seasonal","65ED","2142081000000112","DS","415","Seasonal influenza vaccination","822851000000102","2142081000000112","65ED",NA,"2142081000000112","PRIMIS","54",NA,"Nealon_Kilada_Peppa_DS_PRIMIS","2142081000000112","65ED","65ED.00","822851000000102","2142081000000112",NA,"9","822851000000102","2142081000000112","","0"
"65ED000","105195","Kilada","9","2200881000000110","65ED0","955691000000108","2437171000000110","Nealon","38","LSHTM","15","Peppa","24","Seasonal","65ED0","2200881000000110","DS","418","Seasonal influenza vaccination given by pharmacist","955691000000108","2200881000000110","65ED0",NA,"2437171000000112","PRIMIS","6",NA,"Nealon_LSHTM_Kilada_Peppa_DS_PRIMIS","2200881000000110","65ED0","65ED000","955691000000108","2437171000000112",NA,"9","955691000000108","2437171000000112","","0"
"65ED100","107297","Kilada","13","1884471000006110","65ED1","884861000000100","2280931000000110","Nealon","24","LSHTM","19",NA,NA,"Seasonal","65ED1","1884471000006118","DS","23","Administration of first intranasal seasonal influenza vaccination","884861000000100","1884471000006118","65ED1",NA,"2280931000000115","PRIMIS","22",NA,"Nealon_LSHTM_Kilada_DS_PRIMIS","1884471000006118","65ED1","65ED100","884861000000100","2280931000000115",NA,"9","884861000000100","2280931000000115","","0"
"65ED200","107573","Kilada","16","1884481000006110","65ED2","955701000000108","2437191000000110","Nealon","25","LSHTM","23","Peppa","18","Seasonal","65ED2","1884481000006115","DS","420","Seasonal influenza vaccination given while hospital inpatient","955701000000108","1884481000006115","65ED2",NA,"2437191000000111","PRIMIS","58",NA,"Nealon_LSHTM_Kilada_Peppa_DS_PRIMIS","1884481000006115","65ED2","65ED200","955701000000108","2437191000000111",NA,"9","955701000000108","2437191000000111","","0"
"65ED300","107352","Kilada","14","1884491000006110","65ED3","884881000000109","2280971000000110","Nealon","26","LSHTM","21",NA,NA,"Seasonal","65ED3","1884491000006117","DS","32","Administration of second intranasal seasonal influenza vaccination","884881000000109","1884491000006117","65ED3",NA,"2280971000000118","PRIMIS","33",NA,"Nealon_LSHTM_Kilada_DS_PRIMIS","1884491000006117","65ED3","65ED300","884881000000109","2280971000000118",NA,"9","884881000000109","2280971000000118","","0"
